Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/19/2025,11/20/2025,Netflix.com,Bills & Utilities,Sale,-27.64,
11/05/2025,11/06/2025,WALGREENS #6307,Health & Wellness,Sale,-16.63,
11/03/2025,11/03/2025,Payment Thank You - Web,,Payment,516.68,
10/27/2025,10/31/2025,Returned Payment,,Reversal,-391.20,
10/27/2025,10/27/2025,Payment Thank You - 2nd A,,Payment,391.20,
10/27/2025,10/27/2025,PURCH INTEREST DEBIT ADJ,Fees & Adjustments,Fee,-1.16,
10/22/2025,10/27/2025,Returned Payment,,Reversal,-391.20,
10/22/2025,10/22/2025,AUTOMATIC PAYMENT - THANK,,Payment,391.20,
10/19/2025,10/20/2025,Netflix.com,Bills & Utilities,Sale,-27.64,
10/16/2025,10/17/2025,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-56.01,
10/09/2025,10/12/2025,MUKILTEO SCHOOL DISTRICT,Education,Sale,-25.00,
10/09/2025,10/10/2025,ARCO#83186ARCO GAS,Gas,Sale,-15.67,
09/22/2025,09/22/2025,AUTOMATIC PAYMENT - THANK,,Payment,128.23,
09/19/2025,09/21/2025,NETFLIX.COM,Bills & Utilities,Sale,-27.64,
09/16/2025,09/17/2025,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-44.09,
09/08/2025,09/09/2025,ALDERWOOD WATER AND WASTE,Bills & Utilities,Sale,-319.47,
08/22/2025,08/22/2025,AUTOMATIC PAYMENT - THANK,,Payment,463.09,
08/19/2025,08/20/2025,NETFLIX.COM,Bills & Utilities,Sale,-27.64,
08/15/2025,08/17/2025,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-54.91,
08/13/2025,08/15/2025,JACK IN THE BOX 8344,Food & Drink,Sale,-17.66,
08/13/2025,08/14/2025,QFC #5832,Groceries,Sale,-28.02,
07/22/2025,07/22/2025,AUTOMATIC PAYMENT - THANK,,Payment,552.64,
07/19/2025,07/20/2025,NETFLIX.COM,Bills & Utilities,Sale,-27.64,
07/16/2025,07/17/2025,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-70.09,
07/07/2025,07/08/2025,ALDERWOOD WATER AND WASTE,Bills & Utilities,Sale,-299.01,
06/28/2025,06/29/2025,PY *Alta Pest Control - S,Home,Sale,-66.35,
06/22/2025,06/22/2025,AUTOMATIC PAYMENT - THANK,,Payment,760.64,
06/19/2025,06/20/2025,NETFLIX.COM,Bills & Utilities,Sale,-27.64,
06/16/2025,06/17/2025,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-107.60,
06/09/2025,06/10/2025,SNOHOMISH COUNTY PUD,Bills & Utilities,Sale,-167.45,
06/08/2025,06/10/2025,MUKILTEO WATER AND WASTEW,Bills & Utilities,Sale,-77.00,
06/04/2025,06/05/2025,ZIPLY FIBER INTERNET,Bills & Utilities,Sale,-106.60,
05/28/2025,05/29/2025,PY *Alta Pest Control - S,Home,Sale,-66.35,
05/22/2025,05/22/2025,AUTOMATIC PAYMENT - THANK,,Payment,635.80,
05/19/2025,05/20/2025,NETFLIX.COM,Bills & Utilities,Sale,-27.64,
05/15/2025,05/16/2025,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-139.58,
05/07/2025,05/08/2025,SNOHOMISH COUNTY PUD,Bills & Utilities,Sale,-156.16,
05/07/2025,05/08/2025,ALDERWOOD WATER AND WASTE,Bills & Utilities,Sale,-264.31,
05/05/2025,05/05/2025,ZIPLY FIBER INTERNET,Bills & Utilities,Sale,-106.60,
04/28/2025,04/29/2025,PY *Alta Pest Control - S,Home,Sale,-66.35,
04/22/2025,04/22/2025,AUTOMATIC PAYMENT - THANK,,Payment,924.98,
04/19/2025,04/20/2025,NETFLIX.COM,Bills & Utilities,Sale,-27.64,
04/15/2025,04/16/2025,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-198.92,
04/08/2025,04/10/2025,MUKILTEO WATER AND WASTEW,Bills & Utilities,Sale,-77.00,
04/07/2025,04/08/2025,SNOHOMISH COUNTY PUD,Bills & Utilities,Sale,-159.29,
04/03/2025,04/04/2025,ZIPLY FIBER INTERNET,Bills & Utilities,Sale,-106.60,
03/28/2025,03/30/2025,PY *Alta Pest Control - S,Home,Sale,-66.35,
03/21/2025,03/21/2025,AUTOMATIC PAYMENT - THANK,,Payment,698.26,
03/19/2025,03/19/2025,NETFLIX.COM,Bills & Utilities,Sale,-27.64,
03/17/2025,03/18/2025,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-289.60,
03/10/2025,03/11/2025,ALDERWOOD WATER AND WASTE,Bills & Utilities,Sale,-258.09,
03/07/2025,03/09/2025,SNOHOMISH COUNTY PUD,Bills & Utilities,Sale,-176.70,
03/07/2025,03/07/2025,ZIPLY FIBER INTERNET,Bills & Utilities,Sale,-106.60,
02/28/2025,03/02/2025,PY *Alta Pest Control - S,Home,Sale,-66.35,
02/21/2025,02/21/2025,AUTOMATIC PAYMENT - THANK,,Payment,904.80,
02/19/2025,02/19/2025,Netflix,Bills & Utilities,Sale,-25.43,
02/14/2025,02/16/2025,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-258.45,
02/08/2025,02/10/2025,MUKILTEO WATER AND WASTEW,Bills & Utilities,Sale,-69.42,
02/07/2025,02/09/2025,SNOHOMISH COUNTY PUD,Bills & Utilities,Sale,-172.01,
02/04/2025,02/05/2025,ZIPLY FIBER INTERNET,Bills & Utilities,Sale,-106.60,
01/28/2025,01/29/2025,PY *Alta Pest Control - S,Home,Sale,-66.35,
01/22/2025,01/22/2025,AUTOMATIC PAYMENT - THANK,,Payment,694.22,
01/19/2025,01/20/2025,NETFLIX.COM,Bills & Utilities,Sale,-25.43,
01/16/2025,01/17/2025,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-255.42,
01/07/2025,01/08/2025,SNOHOMISH COUNTY PUD,Bills & Utilities,Sale,-176.08,
01/06/2025,01/07/2025,ALDERWOOD WATER AND WASTE,Bills & Utilities,Sale,-244.03,
01/03/2025,01/05/2025,PP*APPLE.COM/BILL,Shopping,Sale,-14.37,
01/03/2025,01/03/2025,ZIPLY FIBER INTERNET,Bills & Utilities,Sale,-106.60,
12/30/2024,12/31/2024,PY *Alta Pest Control - S,Home,Sale,-66.35,
12/28/2024,12/29/2024,Netflix,Bills & Utilities,Sale,-16.52,
12/22/2024,12/22/2024,AUTOMATIC PAYMENT - THANK,,Payment,996.74,
12/17/2024,12/18/2024,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-185.83,
12/14/2024,12/15/2024,PAYPAL *SAMSUNGELEC,Bills & Utilities,Sale,-110.60,
12/08/2024,12/10/2024,MUKILTEO WATER AND WASTEW,Bills & Utilities,Sale,-61.84,
12/09/2024,12/10/2024,SNOHOMISH COUNTY PUD,Bills & Utilities,Sale,-154.20,
12/05/2024,12/06/2024,ZIPLY FIBER INTERNET,Bills & Utilities,Sale,-98.27,
12/02/2024,12/03/2024,PY *Alta Pest Control - S,Home,Sale,-66.35,
11/28/2024,11/29/2024,NETFLIX.COM,Bills & Utilities,Sale,-17.13,
11/22/2024,11/22/2024,AUTOMATIC PAYMENT - THANK,,Payment,424.29,
11/18/2024,11/18/2024,PAYPAL *SAMSUNGELEC,Bills & Utilities,Sale,-276.49,
11/15/2024,11/17/2024,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-111.43,
11/07/2024,11/08/2024,SNOHOMISH COUNTY PUD,Bills & Utilities,Sale,-158.04,
11/06/2024,11/07/2024,ALDERWOOD WATER AND WASTE,Bills & Utilities,Sale,-269.03,
11/06/2024,11/06/2024,ZIPLY FIBER INTERNET,Bills & Utilities,Sale,-98.27,
10/28/2024,10/29/2024,PY *Alta Pest Control - S,Home,Sale,-66.35,
10/28/2024,10/28/2024,Netflix,Bills & Utilities,Sale,-17.13,
10/22/2024,10/22/2024,AUTOMATIC PAYMENT - THANK,,Payment,555.58,
10/16/2024,10/17/2024,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-71.56,
10/08/2024,10/10/2024,MUKILTEO WATER AND WASTEW,Bills & Utilities,Sale,-61.84,
10/07/2024,10/08/2024,SNOHOMISH COUNTY PUD,Bills & Utilities,Sale,-109.14,
10/05/2024,10/06/2024,ZIPLY FIBER INTERNET,Bills & Utilities,Sale,-98.27,
09/30/2024,10/01/2024,PY *Alta Pest Control - S,Home,Sale,-66.35,
09/28/2024,09/29/2024,Netflix,Bills & Utilities,Sale,-17.13,
09/16/2024,09/17/2024,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-25.20,
09/09/2024,09/10/2024,SNOHOMISH COUNTY PUD,Bills & Utilities,Sale,-79.60,
09/06/2024,09/08/2024,ALDERWOOD WATER AND WASTE,Bills & Utilities,Sale,-269.03,
09/04/2024,09/04/2024,ZIPLY FIBER INTERNET,Bills & Utilities,Sale,-98.27,
08/28/2024,08/29/2024,PY *Alta Pest Control - S,Home,Sale,-66.35,
08/28/2024,08/28/2024,Netflix,Bills & Utilities,Sale,-17.13,
08/21/2024,08/21/2024,Payment Thank You-Mobile,,Payment,1781.14,
08/14/2024,08/15/2024,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-33.68,
08/08/2024,08/11/2024,MUKILTEO WATER AND WASTEW,Bills & Utilities,Sale,-61.84,
08/07/2024,08/08/2024,SNOHOMISH COUNTY PUD,Bills & Utilities,Sale,-129.96,
08/06/2024,08/06/2024,ZIPLY FIBER INTERNET,Bills & Utilities,Sale,-98.27,
07/29/2024,07/30/2024,PY *Alta Pest Control - S,Home,Sale,-66.35,
07/28/2024,07/29/2024,NETFLIX.COM,Bills & Utilities,Sale,-17.13,
07/22/2024,07/22/2024,AUTOMATIC PAYMENT - THANK,,Payment,1779.38,
07/16/2024,07/17/2024,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-92.66,
07/08/2024,07/09/2024,ALDERWOOD WATER AND WASTE,Bills & Utilities,Sale,-250.41,
07/07/2024,07/09/2024,BOILING POINT- EDMONDS,Food & Drink,Sale,-52.78,
07/08/2024,07/09/2024,SNOHOMISH COUNTY PUD,Bills & Utilities,Sale,-176.35,
07/04/2024,07/05/2024,WALGREENS #13900,Health & Wellness,Sale,-60.09,
07/04/2024,07/05/2024,ZIPLY FIBER * INTERNET,Bills & Utilities,Sale,-98.27,
07/02/2024,07/03/2024,PY *Alta Pest Control - S,Home,Sale,-110.59,
06/30/2024,07/02/2024,JANG SOO TOFU RESTAURANT,Food & Drink,Sale,-171.84,
06/30/2024,07/01/2024,QFC #5832,Groceries,Sale,-20.47,
06/28/2024,06/30/2024,NETFLIX.COM,Bills & Utilities,Sale,-17.13,
06/28/2024,06/30/2024,CAFE MAKARIO,Food & Drink,Sale,-29.61,
06/29/2024,06/30/2024,HMART - LYNNWOOD,Groceries,Sale,-293.71,
06/23/2024,06/24/2024,QFC #5832,Groceries,Sale,-30.95,
06/21/2024,06/24/2024,MENCHIES #B573 NORTHPO,Food & Drink,Sale,-15.08,
06/21/2024,06/23/2024,HENRYS DONUTS,Food & Drink,Sale,-5.37,
06/22/2024,06/23/2024,REG ALDERWOOD 7  0909,Entertainment,Sale,-23.13,
06/21/2024,06/23/2024,HMART - LYNNWOOD,Groceries,Sale,-158.77,
06/21/2024,06/23/2024,85C BAKERY CAFE USA,Food & Drink,Sale,-19.18,
06/19/2024,06/20/2024,VANS #0276,Shopping,Sale,-31.64,
06/18/2024,06/20/2024,HENRYS DONUTS,Food & Drink,Sale,-7.16,
06/20/2024,06/20/2024,Subway 28987,Food & Drink,Sale,-19.03,
06/19/2024,06/20/2024,SQ *FAMOUS WOK,Food & Drink,Sale,-19.29,
06/16/2024,06/18/2024,PANERA BREAD #202265 P,Food & Drink,Sale,-21.25,
06/17/2024,06/18/2024,QFC #5832,Groceries,Sale,-17.97,
06/12/2024,06/16/2024,PHO &amp; CHILL,Food & Drink,Sale,-37.19,
06/14/2024,06/16/2024,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-106.59,
06/09/2024,06/11/2024,MALRIHYANG,Food & Drink,Sale,-44.52,
06/08/2024,06/10/2024,MUKILTEO WATER AND WASTEW,Bills & Utilities,Sale,-49.67,
06/07/2024,06/09/2024,TACO BELL #22603,Food & Drink,Sale,-10.04,
06/07/2024,06/09/2024,SNOHOMISH COUNTY PUD,Bills & Utilities,Sale,-148.60,
06/06/2024,06/07/2024,ASCEND PRIME STEAK  SUSHI,Food & Drink,Sale,-476.72,
06/02/2024,06/04/2024,MOMO,Food & Drink,Sale,-78.98,
06/02/2024,06/03/2024,ZIPLY FIBER * INTERNET,Bills & Utilities,Sale,-98.27,
05/29/2024,05/30/2024,TST* DIN TAI FUNG - BELLE,Food & Drink,Sale,-162.75,
05/29/2024,05/30/2024,SUSHI BLUE CATERING,Food & Drink,Sale,-41.58,
05/28/2024,05/29/2024,Netflix.com,Bills & Utilities,Sale,-17.13,
05/25/2024,05/27/2024,SEN SEN RAMEN &amp; KATSU,Food & Drink,Sale,-82.65,
05/23/2024,05/26/2024,BOILING POINT- REDMOND,Food & Drink,Sale,-55.87,
05/25/2024,05/26/2024,Payment Thank You-Mobile,,Payment,1373.43,
05/21/2024,05/23/2024,HENRYS DONUTS,Food & Drink,Sale,-5.07,
05/22/2024,05/23/2024,SQ *LADY M - BELLEVUE,Food & Drink,Sale,-47.57,
05/22/2024,05/23/2024,SQ *LADY M - BELLEVUE,Food & Drink,Sale,-49.16,
05/22/2024,05/23/2024,SQ *WOODS COFFEE - BELLEV,Food & Drink,Sale,-5.95,
05/22/2024,05/22/2024,AUTOMATIC PAYMENT - THANK,,Payment,97.09,
05/18/2024,05/20/2024,JANG SOO TOFU RESTAURANT,Food & Drink,Sale,-44.65,
05/17/2024,05/19/2024,GMART - LYNNWOOD,Groceries,Sale,-29.52,
05/17/2024,05/19/2024,HYANG MI,Food & Drink,Sale,-80.38,
05/14/2024,05/15/2024,PUGET SOUND ENERGY INC,Bills & Utilities,Sale,-137.96,
05/09/2024,05/10/2024,SQ *MOLLY MOON'S UVILLAGE,Food & Drink,Sale,-10.48,
05/09/2024,05/10/2024,PAYPAL *WAYFAIR,Home,Sale,-362.75,
05/07/2024,05/08/2024,ALDERWOOD WATER AND WASTE,Bills & Utilities,Sale,-240.84,
05/07/2024,05/08/2024,SNOHOMISH COUNTY PUD,Bills & Utilities,Sale,-139.91,
05/05/2024,05/06/2024,ZIPLY FIBER * INTERNET,Bills & Utilities,Sale,-88.27,
04/29/2024,04/30/2024,WASTE MGMT WM EZPAY,Bills & Utilities,Sale,-130.92,
04/06/2024,04/07/2024,MCDONALD'S F20783,Food & Drink,Sale,-8.82,
04/02/2024,04/03/2024,ZIPLY FIBER * INTERNET,Bills & Utilities,Sale,-88.27,
03/22/2024,03/22/2024,Payment Thank You-Mobile,,Payment,145.40,
03/19/2024,03/20/2024,67TH AVE MARKET,Groceries,Sale,-13.76,
03/16/2024,03/18/2024,7-ELEVEN 23176,Gas,Sale,-14.29,
03/14/2024,03/17/2024,7-ELEVEN 23176,Gas,Sale,-2.75,
03/12/2024,03/14/2024,7-ELEVEN 23176,Gas,Sale,-14.29,
03/07/2024,03/08/2024,THE WOODS COFFEE 23,Groceries,Sale,-15.04,
03/04/2024,03/05/2024,ZIPLY FIBER * INTERNET,Bills & Utilities,Sale,-85.27,
02/27/2024,02/27/2024,Payment Thank You-Mobile,,Payment,90.85,
02/22/2024,02/22/2024,AUTOMATIC PAYMENT - THANK,,Payment,91.06,
02/04/2024,02/05/2024,ZIPLY FIBER * INTERNET,Bills & Utilities,Sale,-90.85,
01/22/2024,01/22/2024,AUTOMATIC PAYMENT - THANK,,Payment,162.95,
01/02/2024,01/03/2024,ZIPLY FIBER * INTERNET,Bills & Utilities,Sale,-91.06,
12/22/2023,12/22/2023,AUTOMATIC PAYMENT - THANK,,Payment,55.12,
12/16/2023,12/17/2023,SQ *SQUISHABLE,Personal,Sale,-35.94,
12/16/2023,12/17/2023,SQ *SQUISHABLE,Personal,Return,35.94,
12/16/2023,12/17/2023,SQ *SQUISHABLE,Personal,Sale,-35.95,
12/03/2023,12/04/2023,ZIPLY FIBER * INTERNET,Bills & Utilities,Sale,-91.06,
